episode_seed,split,pattern_index,layer_index,mode,intensity_loss_rate
17,train,7,2,0,0.01593427722117492
17,train,7,2,1,0.008980041086783267
17,train,7,2,2,0.009755104878797202
17,train,7,2,3,0.01843711520416591
17,train,7,3,0,0.010283163600288869
17,train,7,3,1,0.014232112648777242
17,train,7,3,2,0.01326514564795823
17,train,7,3,3,0.0061722582258477215
17,train,7,4,0,0.015221455093606614
17,train,7,4,1,0.016432963353391547
17,train,7,4,2,0.014000643364895104
17,train,7,4,3,0.013216306663642726
17,train,8,0,0,0.006305157864825891
17,train,8,0,1,0.011599414497895508
17,train,8,0,2,0.008333795538651887
17,train,8,0,3,0.009916794522876833
17,train,8,1,0,0.01333058992057619
17,train,8,1,1,0.01288203212305075
17,train,8,1,2,0.014836414355529355
17,train,8,1,3,0.00918617738369791
17,train,8,2,0,0.012488467488115988
17,train,8,2,1,0.014460200143866415
17,train,8,2,2,0.016105245124560956
17,train,8,2,3,0.01473124859170402
17,train,8,3,0,0.013933789808833743
17,train,8,3,1,0.012937581281376214
17,train,8,3,2,0.017824596767277306
17,train,8,3,3,0.013629128190599245
17,train,8,4,0,0.013098660141994458
17,train,8,4,1,0.013551664253734934
17,train,8,4,2,0.014735083853496186
17,train,8,4,3,0.009649330205329093
17,train,9,0,0,0.013110693777152103
17,train,9,0,1,0.011960642916825363
17,train,9,0,2,0.011136957218428204
17,train,9,0,3,0.014017220140678695
17,train,9,1,0,0.014218997864769246
17,train,9,1,1,0.013638806660748452
17,train,9,1,2,0.011371020978115714
17,train,9,1,3,0.011771203193142336
17,train,9,2,0,0.01201702639767417
17,train,9,2,1,0.014784178927402008
17,train,9,2,2,0.011644408584043529
17,train,9,2,3,0.008239993686688407
17,train,9,3,0,0.010002200987691291
17,train,9,3,1,0.0055746752028309355
17,train,9,3,2,0.008337431080648796
17,train,9,3,3,0.009704817695938893
17,train,9,4,0,0.01599837302108391
17,train,9,4,1,0.014619456162544297
17,train,9,4,2,0.014329488014876608
17,train,9,4,3,0.01611257829628564
17,train,10,0,0,0.013023034709874324
17,train,10,0,1,0.009173551388029935
17,train,10,0,2,0.011138545470557818
17,train,10,0,3,0.018186962154459835
17,train,10,1,0,0.015049143545755166
17,train,10,1,1,0.013583286166165555
17,train,10,1,2,0.011336297034211483
17,train,10,1,3,0.011039703788418509
17,train,10,2,0,0.013595428952613862
17,train,10,2,1,0.01219747747970828
17,train,10,2,2,0.01280061296382885
17,train,10,2,3,0.013952584632955907
17,train,10,3,0,0.017302292285430766
17,train,10,3,1,0.012046706476739256
17,train,10,3,2,0.014002265513183083
17,train,10,3,3,0.016202041070750708
17,train,10,4,0,0.01601143272333858
17,train,10,4,1,0.014409146278209694
17,train,10,4,2,0.01382790239059392
17,train,10,4,3,0.014303518971160865
17,train,11,0,0,0.010259180824626332
17,train,11,0,1,0.01558583393185847
17,train,11,0,2,0.014743136569789528
17,train,11,0,3,0.011226330833732355
17,train,11,1,0,0.015187807347869712
17,train,11,1,1,0.012401550090483594
17,train,11,1,2,0.009111368191196918
17,train,11,1,3,0.01720345408982668
17,train,11,2,0,0.009035957545753651
17,train,11,2,1,0.0072595352845773765
17,train,11,2,2,0.009779431497716184
17,train,11,2,3,0.007839847416029961
17,train,11,3,0,0.01820672370590708
17,train,11,3,1,0.012655173053055533
17,train,11,3,2,0.017438090610196817
17,train,11,3,3,0.012264570009103692
17,train,11,4,0,0.011542698823811058
17,train,11,4,1,0.003256192086728037
17,train,11,4,2,0.009470875377270965
17,train,11,4,3,0.009108545586052506
17,train,12,0,0,0.013832148824761553
17,train,12,0,1,0.01740111499597178
17,train,12,0,2,0.012564387850105246
17,train,12,0,3,0.009046216165929044
17,train,12,1,0,0.01006518508157272
17,train,12,1,1,0.019092376033672292
17,train,12,1,2,0.016244940230669608
17,train,12,1,3,0.015366802706724726
17,train,12,2,0,0.01599196295886622
17,train,12,2,1,0.017199106546289068
17,train,12,2,2,0.016435008476072308
17,train,12,2,3,0.017019245615986063
17,train,12,3,0,0.013005904136787991
17,train,12,3,1,0.015899251247199344
17,train,12,3,2,0.00900961082871253
17,train,12,3,3,0.010722752636076246
17,train,12,4,0,0.013934269310182094
17,train,12,4,1,0.011510736035702155
17,train,12,4,2,0.01723899866892907
17,train,12,4,3,0.015332365708208024
17,train,13,0,0,0.012483950320691474
17,train,13,0,1,0.009957396975540732
17,train,13,0,2,0.011027024009598348
17,train,13,0,3,0.009108287937599475
17,train,13,1,0,0.006085967680191292
17,train,13,1,1,0.013530769776239616
17,train,13,1,2,0.010087162254813733
17,train,13,1,3,0.011093654050552165
17,train,13,2,0,0.017336258115726755
17,train,13,2,1,0.012641534416922257
17,train,13,2,2,0.009523705104690307
17,train,13,2,3,0.006557408863819614
17,train,13,3,0,0.016899073160120195
17,train,13,3,1,0.010326308313962857
17,train,13,3,2,0.013179689063485014
17,train,13,3,3,0.012606887303951427
17,train,13,4,0,0.01616148896885584
17,train,13,4,1,0.014223278752065048
17,train,13,4,2,0.014971992046964401
17,train,13,4,3,0.012021605364026867
17,train,14,0,0,0.013868751746727404
17,train,14,0,1,0.01201468003745191
17,train,14,0,2,0.0073932380887411255
17,train,14,0,3,0.012634348261260983
17,train,14,1,0,0.015555670453792674
17,train,14,1,1,0.008840570107968147
17,train,14,1,2,0.00782529872681905
17,train,14,1,3,0.006257131519462683
17,train,14,2,0,0.011064688352070645
17,train,14,2,1,0.013253330529472925
17,train,14,2,2,0.010188467261007729
17,train,14,2,3,0.010824404013603585
17,train,14,3,0,0.014825620613366385
17,train,14,3,1,0.010528525857057167
17,train,14,3,2,0.01266524302114827
17,train,14,3,3,0.00517667308132353
17,train,14,4,0,0.011389090302646671
17,train,14,4,1,0.00978937778240726
17,train,14,4,2,0.009684040737861912
17,train,14,4,3,0.013106908698999376
17,train,15,0,0,0.010595161893210166
17,train,15,0,1,0.010012259251411592
17,train,15,0,2,0.013234543759752028
17,train,15,0,3,0.008772514551053176
17,train,15,1,0,0.009070557441910165
17,train,15,1,1,0.016784191605178234
17,train,15,1,2,0.008473836425466279
17,train,15,1,3,0.012959373916337887
17,train,15,2,0,0.01790948313456745
17,train,15,2,1,0.013033423836482032
17,train,15,2,2,0.01572265698581318
17,train,15,2,3,0.01303866562464262
17,train,15,3,0,0.01461461879138783
17,train,15,3,1,0.007860357362228263
17,train,15,3,2,0.01213992405332724
17,train,15,3,3,0.011127099944300757
17,train,15,4,0,0.015694014391286117
17,train,15,4,1,0.007673835812826632
17,train,15,4,2,0.01407715851972087
17,train,15,4,3,0.015420265396301104
17,heldout,0,0,0,0.022454685459237858
17,heldout,0,0,1,0.008
17,heldout,0,0,2,0.019272612045072586
17,heldout,0,0,3,0.031594398113583014
17,heldout,0,1,0,0.03708006672455712
17,heldout,0,1,1,0.008
17,heldout,0,1,2,0.028374161332237028
17,heldout,0,1,3,0.03843552087235143
17,heldout,0,2,0,0.052093465987144316
17,heldout,0,2,1,0.021735972426035678
17,heldout,0,2,2,0.028135113702432667
17,heldout,0,2,3,0.04630444237935174
17,heldout,0,3,0,0.013886706334707562
17,heldout,0,3,1,0.008
17,heldout,0,3,2,0.020586923103222955
17,heldout,0,3,3,0.022632884742134863
17,heldout,0,4,0,0.04657160854371771
17,heldout,0,4,1,0.024738363805110908
17,heldout,0,4,2,0.024442159303141496
17,heldout,0,4,3,0.03964267061448095
17,heldout,1,0,0,0.03792325279571081
17,heldout,1,0,1,0.05127845508546413
17,heldout,1,0,2,0.035206380326085265
17,heldout,1,0,3,0.04366432122062373
17,heldout,1,1,0,0.05513206389473421
17,heldout,1,1,1,0.040886971682107635
17,heldout,1,1,2,0.04962818281843123
17,heldout,1,1,3,0.05451233856767306
17,heldout,1,2,0,0.03838707702366154
17,heldout,1,2,1,0.039686388121095706
17,heldout,1,2,2,0.037302214411245246
17,heldout,1,2,3,0.043154712726125005
17,heldout,1,3,0,0.02810579013472026
17,heldout,1,3,1,0.0136582024861936
17,heldout,1,3,2,0.022880114220077383
17,heldout,1,3,3,0.021936485332868714
17,heldout,1,4,0,0.028424694631625357
17,heldout,1,4,1,0.012438556181492212
17,heldout,1,4,2,0.03122015720307962
17,heldout,1,4,3,0.04138911362828662
17,heldout,2,0,0,0.05072010665556971
17,heldout,2,0,1,0.03466565140393113
17,heldout,2,0,2,0.03115048021826133
17,heldout,2,0,3,0.04614051162961886
17,heldout,2,1,0,0.03289851337301532
17,heldout,2,1,1,0.04579245937870459
17,heldout,2,1,2,0.022071502696679342
17,heldout,2,1,3,0.023733355914525113
17,heldout,2,2,0,0.04523854395560113
17,heldout,2,2,1,0.04149094723005716
17,heldout,2,2,2,0.02745260154239878
17,heldout,2,2,3,0.04352002456660997
17,heldout,2,3,0,0.03454969099907779
17,heldout,2,3,1,0.02649113128257392
17,heldout,2,3,2,0.03775360652637355
17,heldout,2,3,3,0.02812078650226515
17,heldout,2,4,0,0.03635465294884162
17,heldout,2,4,1,0.019225907684434322
17,heldout,2,4,2,0.05168955093567884
17,heldout,2,4,3,0.04863351853031919
17,heldout,3,0,0,0.04081725185640364
17,heldout,3,0,1,0.03503262414901677
17,heldout,3,0,2,0.03864308009242391
17,heldout,3,0,3,0.04655441793896071
17,heldout,3,1,0,0.038404592755782715
17,heldout,3,1,1,0.027999309529947607
17,heldout,3,1,2,0.03295195230137901
17,heldout,3,1,3,0.054667810524152344
17,heldout,3,2,0,0.008742897616911598
17,heldout,3,2,1,0.008
17,heldout,3,2,2,0.026005619310351998
17,heldout,3,2,3,0.023635949316292204
17,heldout,3,3,0,0.031297113420918746
17,heldout,3,3,1,0.008
17,heldout,3,3,2,0.026344293740261468
17,heldout,3,3,3,0.03820008333895805
17,heldout,3,4,0,0.028035841529753747
17,heldout,3,4,1,0.008
17,heldout,3,4,2,0.028729865049460665
17,heldout,3,4,3,0.024705555726794885
17,heldout,4,0,0,0.024572778991094207
17,heldout,4,0,1,0.022475809790921696
17,heldout,4,0,2,0.009988404868988138
17,heldout,4,0,3,0.03081312506333307
17,heldout,4,1,0,0.03458305650960897
17,heldout,4,1,1,0.03673547608527659
17,heldout,4,1,2,0.036353040170304704
17,heldout,4,1,3,0.024701268564430306
17,heldout,4,2,0,0.04228982780650033
17,heldout,4,2,1,0.04351756942802774
17,heldout,4,2,2,0.026727817416739314
17,heldout,4,2,3,0.05331772927211829
17,heldout,4,3,0,0.03967803481480008
17,heldout,4,3,1,0.03263325510940822
17,heldout,4,3,2,0.03236187781050456
17,heldout,4,3,3,0.02248841195128845
17,heldout,4,4,0,0.04128092727746077
17,heldout,4,4,1,0.028446492119440097
17,heldout,4,4,2,0.03310265682784286
17,heldout,4,4,3,0.05145126323347728
17,heldout,5,0,0,0.04679729372125918
17,heldout,5,0,1,0.027005583274011292
17,heldout,5,0,2,0.026549354287678056
17,heldout,5,0,3,0.027544390499752127
17,heldout,5,1,0,0.034416580478940674
17,heldout,5,1,1,0.026879167708486838
17,heldout,5,1,2,0.0314401683146998
17,heldout,5,1,3,0.03370432251734463
17,heldout,5,2,0,0.05829391304177073
17,heldout,5,2,1,0.027323236042166632
17,heldout,5,2,2,0.022381637441503264
17,heldout,5,2,3,0.03864887926153569
17,heldout,5,3,0,0.03949103477916753
17,heldout,5,3,1,0.014563622374951268
17,heldout,5,3,2,0.031269663762825695
17,heldout,5,3,3,0.038231639074477124
17,heldout,5,4,0,0.03671627358804885
17,heldout,5,4,1,0.01541605507141217
17,heldout,5,4,2,0.017483022874928752
17,heldout,5,4,3,0.0125264139513674
17,heldout,6,0,0,0.03899300171084605
17,heldout,6,0,1,0.028095523968452014
17,heldout,6,0,2,0.03970270904204698
17,heldout,6,0,3,0.04761699288158887
17,heldout,6,1,0,0.059209358926222005
17,heldout,6,1,1,0.04523398821024924
17,heldout,6,1,2,0.04919873012193754
17,heldout,6,1,3,0.05532811475504686
17,heldout,6,2,0,0.035202875002065676
17,heldout,6,2,1,0.012094487883414867
17,heldout,6,2,2,0.025347445143420664
17,heldout,6,2,3,0.03809173232204941
17,heldout,6,3,0,0.04746977368381343
17,heldout,6,3,1,0.017432431466509152
17,heldout,6,3,2,0.0310549402798287
17,heldout,6,3,3,0.02032139446625334
17,heldout,6,4,0,0.03167923575004268
17,heldout,6,4,1,0.04212152192085546
17,heldout,6,4,2,0.052494245783070256
17,heldout,6,4,3,0.03312579430101133
17,heldout,7,0,0,0.03833503314596401
17,heldout,7,0,1,0.02432679813384869
17,heldout,7,0,2,0.04586212249433827
17,heldout,7,0,3,0.03623320462020694
17,heldout,7,1,0,0.03734785565459746
17,heldout,7,1,1,0.02470086615151512
17,heldout,7,1,2,0.04146619986448434
17,heldout,7,1,3,0.048642477648076915
17,heldout,7,2,0,0.02938014404804141
17,heldout,7,2,1,0.053732223125888365
17,heldout,7,2,2,0.047646467494510486
17,heldout,7,2,3,0.03867347373836123
17,heldout,7,3,0,0.05628624900416393
17,heldout,7,3,1,0.046212315946192836
17,heldout,7,3,2,0.04689539764980277
17,heldout,7,3,3,0.050481968137488946
17,heldout,7,4,0,0.0417432696740389
17,heldout,7,4,1,0.032481268264113336
17,heldout,7,4,2,0.020094735801637603
17,heldout,7,4,3,0.019853180961375682
17,heldout,8,0,0,0.03929282477674102
17,heldout,8,0,1,0.026770779775872052
17,heldout,8,0,2,0.027460757931827385
17,heldout,8,0,3,0.028589569957585746
17,heldout,8,1,0,0.03849220765806961
17,heldout,8,1,1,0.015610759043758195
17,heldout,8,1,2,0.039514072874423614
17,heldout,8,1,3,0.03035190948770986
17,heldout,8,2,0,0.04031012221818729
17,heldout,8,2,1,0.0417554660106741
17,heldout,8,2,2,0.03993092664889698
17,heldout,8,2,3,0.034394089308853536
17,heldout,8,3,0,0.05894684031737353
17,heldout,8,3,1,0.04105353812186412
17,heldout,8,3,2,0.042420305698244495
17,heldout,8,3,3,0.042016532112904736
17,heldout,8,4,0,0.06136384485005794
17,heldout,8,4,1,0.019185628175665773
17,heldout,8,4,2,0.05061152018055132
17,heldout,8,4,3,0.041140474765702255
17,heldout,9,0,0,0.03689561172838618
17,heldout,9,0,1,0.0173384212160115
17,heldout,9,0,2,0.02013093071924439
17,heldout,9,0,3,0.03176002568802433
17,heldout,9,1,0,0.05420921563468588
17,heldout,9,1,1,0.03913273822007654
17,heldout,9,1,2,0.06833179250332944
17,heldout,9,1,3,0.04878174614213278
17,heldout,9,2,0,0.05363285470864981
17,heldout,9,2,1,0.04706424571427044
17,heldout,9,2,2,0.04676230247009609
17,heldout,9,2,3,0.03170730999057192
17,heldout,9,3,0,0.04929797667670173
17,heldout,9,3,1,0.026030356576935774
17,heldout,9,3,2,0.037542253428009056
17,heldout,9,3,3,0.036270066121055745
17,heldout,9,4,0,0.03737301292064183
17,heldout,9,4,1,0.04592910527724951
17,heldout,9,4,2,0.03432074445402708
17,heldout,9,4,3,0.04398086539427003
17,heldout,10,0,0,0.04010554209340086
17,heldout,10,0,1,0.040478739112304665
17,heldout,10,0,2,0.023880511018813902
17,heldout,10,0,3,0.03910980184149866
17,heldout,10,1,0,0.04404972586739468
17,heldout,10,1,1,0.025573466135405662
17,heldout,10,1,2,0.029486502309104597
17,heldout,10,1,3,0.03655769610250397
17,heldout,10,2,0,0.051454743973954525
17,heldout,10,2,1,0.022895352927356716
17,heldout,10,2,2,0.013207122031870352
17,heldout,10,2,3,0.03347925437184482
17,heldout,10,3,0,0.06635753004414456
17,heldout,10,3,1,0.043526302045058404
17,heldout,10,3,2,0.044350545827242294
17,heldout,10,3,3,0.05100290496923024
17,heldout,10,4,0,0.042160904643700356
17,heldout,10,4,1,0.050319485450484557
17,heldout,10,4,2,0.04172201997165355
17,heldout,10,4,3,0.04689396236011945
17,heldout,11,0,0,0.04462069558684663
17,heldout,11,0,1,0.03006441771075683
17,heldout,11,0,2,0.046023600220390384
17,heldout,11,0,3,0.051511522725047124
17,heldout,11,1,0,0.02691477576831139
17,heldout,11,1,1,0.025979299154813534
17,heldout,11,1,2,0.01441610890812283
17,heldout,11,1,3,0.03936164942008936
17,heldout,11,2,0,0.03931639268799389
17,heldout,11,2,1,0.03593774574739468
17,heldout,11,2,2,0.03152299968883869
17,heldout,11,2,3,0.010390940721832682
17,heldout,11,3,0,0.04531180022877615
17,heldout,11,3,1,0.021266300012409152
17,heldout,11,3,2,0.03865267976970545
17,heldout,11,3,3,0.03660646193015274
17,heldout,11,4,0,0.04114672450603646
17,heldout,11,4,1,0.016822723762017718
17,heldout,11,4,2,0.024817494098570984
17,heldout,11,4,3,0.02381195934276564
17,heldout,12,0,0,0.056163854278525965
17,heldout,12,0,1,0.046246266325636914
17,heldout,12,0,2,0.04263078771545879
17,heldout,12,0,3,0.03181400908094978
17,heldout,12,1,0,0.039184656990153485
17,heldout,12,1,1,0.03566816597021699
17,heldout,12,1,2,0.05484220083170817
17,heldout,12,1,3,0.04781986411299364
17,heldout,12,2,0,0.03951577367586373
17,heldout,12,2,1,0.016527285606551957
17,heldout,12,2,2,0.026054131841424584
17,heldout,12,2,3,0.03139297549364686
17,heldout,12,3,0,0.036152638405825235
17,heldout,12,3,1,0.027199539790764445
17,heldout,12,3,2,0.012741672383347755
17,heldout,12,3,3,0.03192122511463992
17,heldout,12,4,0,0.05559740682594187
17,heldout,12,4,1,0.02793551274367118
17,heldout,12,4,2,0.05321862023502677
17,heldout,12,4,3,0.03895278070025528
17,heldout,13,0,0,0.05483101315798518
17,heldout,13,0,1,0.02810698826153396
17,heldout,13,0,2,0.023308987396387527
17,heldout,13,0,3,0.03353432952972271
17,heldout,13,1,0,0.04078672340928545
17,heldout,13,1,1,0.03295599368597998
17,heldout,13,1,2,0.03535006189935541
17,heldout,13,1,3,0.017619377620279156
17,heldout,13,2,0,0.01678231019847797
17,heldout,13,2,1,0.03653472402228073
17,heldout,13,2,2,0.01855347934780228
17,heldout,13,2,3,0.029906526256086276
17,heldout,13,3,0,0.03869913657528538
17,heldout,13,3,1,0.04477013045994486
17,heldout,13,3,2,0.0465737513683739
17,heldout,13,3,3,0.04275552674374547
17,heldout,13,4,0,0.05175591347725007
17,heldout,13,4,1,0.042059744867573017
17,heldout,13,4,2,0.036775432959956306
17,heldout,13,4,3,0.02973531233053058
17,heldout,14,0,0,0.05764403167453411
17,heldout,14,0,1,0.03485469420421929
17,heldout,14,0,2,0.04653584483469517
17,heldout,14,0,3,0.038586929675683314
17,heldout,14,1,0,0.05234358518288784
17,heldout,14,1,1,0.017835192128263032
17,heldout,14,1,2,0.042552448027283696
17,heldout,14,1,3,0.05111309568643406
17,heldout,14,2,0,0.041139786161505126
17,heldout,14,2,1,0.030183355539211358
17,heldout,14,2,2,0.027662788961166546
17,heldout,14,2,3,0.027722984628325877
17,heldout,14,3,0,0.01993769286586327
17,heldout,14,3,1,0.01603603053400766
17,heldout,14,3,2,0.011988323485030263
17,heldout,14,3,3,0.02562254061557101
17,heldout,14,4,0,0.04824833982081282
17,heldout,14,4,1,0.022201854153665997
17,heldout,14,4,2,0.02021432333873755
17,heldout,14,4,3,0.029609626367851832
17,heldout,15,0,0,0.03698980877507162
17,heldout,15,0,1,0.023878852705449094
17,heldout,15,0,2,0.026043257894741795
17,heldout,15,0,3,0.028393601918274756
17,heldout,15,1,0,0.05568826091019463
17,heldout,15,1,1,0.020906527453662622
17,heldout,15,1,2,0.024652773455598232
17,heldout,15,1,3,0.0378005589165617
17,heldout,15,2,0,0.04850626859685382
17,heldout,15,2,1,0.039404061658070436
17,heldout,15,2,2,0.020030216653850408
17,heldout,15,2,3,0.039150300566356336
17,heldout,15,3,0,0.05320907226729188
17,heldout,15,3,1,0.0474124154691861
17,heldout,15,3,2,0.05611109872511476
17,heldout,15,3,3,0.063828108402499
17,heldout,15,4,0,0.04883601080464793
17,heldout,15,4,1,0.02930542747896621
17,heldout,15,4,2,0.026958951768792594
17,heldout,15,4,3,0.032790382686166034
17,heldout,16,0,0,0.05893794373329106
17,heldout,16,0,1,0.023434465236737048
17,heldout,16,0,2,0.03828765907379615
17,heldout,16,0,3,0.028028551361265704
17,heldout,16,1,0,0.03631753325184148
17,heldout,16,1,1,0.011224045999168913
17,heldout,16,1,2,0.034537339358488774
17,heldout,16,1,3,0.03436734505436935
17,heldout,16,2,0,0.03372829519175691
17,heldout,16,2,1,0.04781621812380031
17,heldout,16,2,2,0.031170552778779392
17,heldout,16,2,3,0.06558444023411242
17,heldout,16,3,0,0.03135396173796536
17,heldout,16,3,1,0.009425994488537518
17,heldout,16,3,2,0.008591738926625524
17,heldout,16,3,3,0.05775176492189585
17,heldout,16,4,0,0.03905979891632766
17,heldout,16,4,1,0.008
17,heldout,16,4,2,0.03156144286092065
17,heldout,16,4,3,0.04227398918665355
17,heldout,17,0,0,0.028911961075289403
17,heldout,17,0,1,0.02464172547267468
17,heldout,17,0,2,0.04681953161956651
17,heldout,17,0,3,0.028052372342529594
17,heldout,17,1,0,0.04088768996648351
17,heldout,17,1,1,0.036771982282589426
17,heldout,17,1,2,0.023403013799696996
17,heldout,17,1,3,0.02620467154865655
17,heldout,17,2,0,0.0400750005193453
17,heldout,17,2,1,0.040056116170065145
17,heldout,17,2,2,0.04933123945458001
17,heldout,17,2,3,0.024121231120111625
17,heldout,17,3,0,0.05441114216923075
17,heldout,17,3,1,0.04379266133291767
17,heldout,17,3,2,0.044153567261330365
17,heldout,17,3,3,0.0457998528514688
17,heldout,17,4,0,0.051016051981129934
17,heldout,17,4,1,0.04526650489483836
17,heldout,17,4,2,0.04609413986614383
17,heldout,17,4,3,0.05014495230748101
17,heldout,18,0,0,0.05578423628688517
17,heldout,18,0,1,0.047491972265055665
17,heldout,18,0,2,0.046340113873048955
17,heldout,18,0,3,0.06608984096142534
17,heldout,18,1,0,0.019841304838724098
17,heldout,18,1,1,0.014943937184269708
17,heldout,18,1,2,0.01573524095440177
17,heldout,18,1,3,0.008
17,heldout,18,2,0,0.06160336062982533
17,heldout,18,2,1,0.032267662386319895
17,heldout,18,2,2,0.04959325541988936
17,heldout,18,2,3,0.05673852066441413
17,heldout,18,3,0,0.0236842189144184
17,heldout,18,3,1,0.018028195159113632
17,heldout,18,3,2,0.027486782416782776
